783,dorure,,threshold,,,
784,doruru,,porch,,,
785,dotaka,,bring,,,
786,dotaka,,bring,,,
787,dotama,,drumsticks,,,
788,dotama,,drumsticks,,,
789,dotara,,come out,,,
790,doteri,,doctor,,,
791,doteuke,,tap,,,
792,doteuri,,doctor,,,
793,doti,,bewitch,,,
794,doti,,bewitch,,,
795,dotiliara,,cut away,,,
796,doto,ma,"sharp, cape, point",nautical,,
797,doto-doto,,sharp,,,
798,dotogoreuhe,,intense *crying,,,
799,dotoko,ho ma,learn,,,
800,dotoko,ha,teach,,,
801,dotoreke,o,gecko,animal,,
802,dotoreke,o,thunder,,,
803,dotowara,,hardened,,,
804,dotumo,,throw,,,
805,dotumu,,fourth generation *grandparents,kin,,
806,dowiti,,carry with sticks,,,
807,dowongi,o,"beach, sand",nautical,,
808,dowora,o,ironwood,plant,,
809,dua-dua,,bellows,,,
810,dubaba,,pour,,,
811,dubara,,adversity,,,
812,dubo,,put up high,,,
813,dubuho,,heavy,,,
814,dudu,ma,cigarette,,,
815,dudu,ho ma,to *smoke (tobacco),,,
816,dudubo,,put s t up high,,,
